N,Year,TLen,Species,number,PerpDist,
2042,2010,73,DesertLark,2,48.0,
2043,2010,73,ScrubWarbler,2,65.0,
2044,2010,73,SpectacledBulbul,2,28.0,
2045,2010,73,WhiteCrownedWheatear,1,38.0,
2046,2010,73,DesertLark,2,40.0,
2047,2010,73,PaleCragMartin,2,125.0,
2048,2010,73,RockDove,1,93.0,
2049,2010,73,SinaiRoseFinch,2,10.0,
2050,2010,73,SinaiRoseFinch,2,62.0,
2051,2010,73,WhiteCrownedWheatear,1,12.0,
2052,2010,73,WhiteCrownedWheatear,2,22.0,
2053,2010,73,ScrubWarbler,2,21.0,
2054,2010,73,ScrubWarbler,1,10.0,
2055,2010,73,ScrubWarbler,1,5.0,
2056,2010,73,PaleCragMartin,1,10.0,
2057,2010,73,SinaiRoseFinch,1,29.0,
2058,2010,73,TristramsStarling,2,50.0,
2059,2010,73,RockDove,1,36.0,
2060,2010,73,WhiteCrownedWheatear,1,46.0,
2061,2010,73,TristramsStarling,1,50.0,
2062,2010,73,WhiteCrownedWheatear,1,50.0,
2063,2010,73,DesertLark,1,40.0,
2064,2010,73,WhiteCrownedWheatear,1,62.0,
2065,2010,73,Chucker,1,1.0,
2066,2010,73,WhiteCrownedWheatear,1,1.0,
2067,2010,73,RockDove,1,10.0,
2068,2010,73,SinaiRoseFinch,1,1.0,
2069,2010,73,SinaiRoseFinch,1,1.0,
2070,2010,73,RockDove,1,1.0,
2071,2010,73,WhiteCrownedWheatear,1,65.0,
2072,2010,73,ScrubWarbler,1,34.0,
2073,2010,73,WhiteCrownedWheatear,1,10.0,
2074,2010,73,ScrubWarbler,1,15.0,
2075,2010,73,ScrubWarbler,1,15.0,
2076,2010,73,RockDove,8,73.0,
2077,2010,73,PaleCragMartin,1,73.0,
2078,2010,73,SinaiRoseFinch,4,100.0,
2079,2010,73,ScrubWarbler,1,101.0,
2080,2010,73,WhiteCrownedWheatear,1,110.0,
2081,2010,73,RockDove,4,10.0,
2082,2010,73,SinaiRoseFinch,4,5.0,
2083,2010,73,ScrubWarbler,1,3.0,
2084,2010,73,TristramsStarling,2,23.0,
2085,2010,73,ScrubWarbler,2,7.0,
2086,2010,73,PalestineSunbird,1,23.0,
2087,2010,73,Chucker,1,21.0,
2088,2010,73,WhiteCrownedWheatear,1,8.0,
2089,2010,73,ScrubWarbler,1,19.0,
2090,2010,73,DesertLark,1,20.0,
2091,2010,73,PaleCragMartin,1,10.0,
2092,2010,73,WhiteCrownedWheatear,2,9.0,
2093,2010,73,WhiteCrownedWheatear,1,10.0,
2094,2010,73,DesertLark,1,12.0,
2095,2010,73,TrumpeterFinch,1,15.0,
2096,2010,73,ScrubWarbler,2,41.0,
2097,2010,73,WhiteCrownedWheatear,1,20.0,
2098,2010,73,RockDove,1,12.0,
2099,2010,73,OlivaciousWarbler,1,13.0,
2100,2010,73,DesertLark,2,31.0,
2101,2010,73,TristramsStarling,1,38.0,
2102,2010,73,ScrubWarbler,1,10.0,
2103,2010,73,PaleCragMartin,1,1.0,
2104,2010,73,DesertLark,1,74.0,
2105,2010,73,Kestrel,1,42.0,
2106,2010,73,DesertLark,1,3.0,
2107,2010,73,ScrubWarbler,2,2.0,
2108,2010,73,WhiteCrownedWheatear,1,6.0,
2109,2010,73,SinaiRoseFinch,1,37.0,
2110,2010,73,SinaiRoseFinch,2,81.0,
2111,2010,73,SinaiRoseFinch,1,1.0,
2112,2010,73,ScrubWarbler,1,26.0,
2113,2010,73,WhiteCrownedWheatear,1,35.0,
2114,2010,73,PaleCragMartin,1,10.0,
2115,2010,73,SpectacledBulbul,1,24.0,
2116,2010,73,PaleCragMartin,1,10.0,
2117,2010,73,PaleCragMartin,1,10.0,
2118,2010,73,ScrubWarbler,1,40.0,
2119,2010,73,WhiteCrownedWheatear,1,15.0,
2120,2010,73,TristramsStarling,1,48.0,
2121,2010,73,TristramsStarling,1,48.0,
2122,2010,73,SpectacledBulbul,1,26.0,
2123,2010,73,SpectacledBulbul,2,42.0,
2124,2010,73,WhiteCrownedWheatear,1,8.0,
2125,2010,73,SinaiRoseFinch,4,16.0,
2126,2010,73,Chucker,3,33.0,
2127,2010,73,WhiteCrownedWheatear,1,9.0,
2128,2010,73,SinaiRoseFinch,1,9.0,
2129,2010,73,SinaiRoseFinch,1,10.0,
2130,2010,73,SinaiRoseFinch,1,5.0,
2131,2010,73,ScrubWarbler,1,25.0,
2132,2010,73,Chucker,5,105.0,
2133,2010,73,SinaiRoseFinch,4,26.0,
2134,2010,73,TristramsStarling,1,31.0,
2135,2010,73,PaleCragMartin,1,1.0,
2136,2010,73,TristramsStarling,1,357.0,
2137,2010,73,ScrubWarbler,1,10.0,
2138,2010,73,ScrubWarbler,1,15.0,
2139,2010,73,WhiteCrownedWheatear,1,20.0,
2140,2010,73,ScrubWarbler,1,10.0,
2141,2010,73,ScrubWarbler,1,10.0,
2142,2010,73,SinaiRoseFinch,2,27.0,
2143,2010,73,DesertLark,3,11.0,
2144,2010,73,SinaiRoseFinch,1,46.0,
2145,2010,73,WhiteCrownedWheatear,1,15.0,
2146,2010,73,WhiteCrownedWheatear,1,52.0,
2147,2010,73,WhiteCrownedWheatear,1,1.0,
2148,2010,73,DesertLark,2,60.0,
2149,2010,73,RockDove,2,2.0,
2150,2010,73,DesertLark,2,10.0,
2151,2010,73,SinaiRoseFinch,2,76.0,
2152,2010,73,WhiteCrownedWheatear,1,10.0,
2153,2010,73,SinaiRoseFinch,2,15.0,
2154,2010,73,TristramsStarling,1,70.0,
2155,2010,73,DesertLark,1,1.0,
2156,2010,73,DesertLark,2,5.0,
2157,2010,73,DesertLark,2,5.0,
2158,2010,73,TristramsStarling,5,9.0,
2159,2010,73,TristramsStarling,1,1.0,
2160,2010,73,BlackStart,1,9.0,
2161,2010,73,WhiteCrownedWheatear,2,9.0,
2162,2010,73,DesertLark,1,40.0,
2163,2010,73,PaleCragMartin,2,49.0,
2164,2010,73,ScrubWarbler,2,11.0,
2165,2010,73,PaleCragMartin,1,42.0,
2166,2010,73,ScrubWarbler,1,21.0,
2167,2010,73,WhiteCrownedWheatear,1,27.0,
2168,2010,73,sinaiRoseFinch,2,10.0,
2169,2010,73,SpectacledBulbul,2,1.0,
2170,2010,73,SinaiRoseFinch,1,6.0,
2171,2010,73,SpectacledBulbul,1,10.0,
2172,2010,73,PaleCragMartin,1,15.0,
2173,2010,73,PaleCragMartin,3,129.0,
2174,2010,73,PaleCragMartin,1,70.0,
2175,2010,73,ScrubWarbler,1,16.0,
2176,2010,73,SinaiRoseFinch,3,32.0,
2177,2010,73,SinaiRoseFinch,1,27.0,
2178,2010,73,WhiteCrownedWheatear,1,5.0,
2179,2010,73,WhiteCrownedWheatear,1,24.0,
2180,2010,73,ScrubWarbler,1,55.0,
2181,2010,73,ScrubWarbler,1,23.0,
2182,2010,73,TristramsStarling,2,26.0,
2183,2010,73,ScrubWarbler,1,10.0,
2184,2010,73,TristramsStarling,10,1.0,
2185,2010,73,SpectacledBulbul,2,20.0,
2186,2010,73,PaleCragMartin,1,10.0,
2187,2010,73,ScrubWarbler,1,60.0,
2188,2010,73,PaleCragMartin,1,1.0,
2189,2010,73,PaleCragMartin,1,27.0,
2190,2010,73,PaleCragMartin,2,10.0,
2191,2010,73,TristramsStarling,1,16.0,
2192,2010,73,PaleCragMartin,2,49.0,
2193,2010,73,SpectacledBulbul,1,32.0,
2194,2010,73,SinaiRoseFinch,4,23.0,
2195,2010,73,SpectacledBulbul,1,33.0,
2196,2010,73,SandPartridge,7,87.0,
2197,2010,73,ScrubWarbler,1,48.0,
2198,2010,73,WhiteCrownedWheatear,1,29.0,
2199,2010,73,Chucker,3,98.0,
2200,2010,73,SpectacledBulbul,3,60.0,
2201,2010,73,TristramsStarling,1,110.0,
2202,2010,73,ScrubWarbler,1,36.0,
2203,2010,73,TristramsStarling,1,100.0,
2204,2010,73,ScrubWarbler,1,14.0,
2205,2010,73,SpectacledBulbul,2,10.0,
2206,2010,73,ScrubWarbler,1,32.0,
2207,2010,73,ScrubWarbler,1,20.0,
2208,2010,73,SinaiRoseFinch,1,49.0,
2209,2010,73,ScrubWarbler,1,43.0,
2210,2010,73,RockDove,1,20.0,
2211,2010,73,ScrubWarbler,2,26.0,
2212,2010,73,RockDove,1,28.0,
2213,2010,73,PaleCragMartin,1,10.0,
2214,2010,73,SinaiRoseFinch,1,51.0,
2215,2010,73,ScrubWarbler,1,1.0,
2216,2010,73,ScrubWarbler,1,1.0,
2217,2010,73,TristramsStarling,1,21.0,
2218,2010,73,sinaiRoseFinch,2,28.0,
2219,2010,73,SpectacledBulbul,1,28.0,
2220,2010,73,ScrubWarbler,1,58.0,
2221,2010,73,sinaiRoseFinch,1,26.0,
2222,2010,73,WhiteCrownedWheatear,1,5.0,
2223,2010,73,PaleCragMartin,1,10.0,
2224,2010,73,DesertLark,1,10.0,
2225,2010,73,sinaiRoseFinch,1,43.0,
2226,2010,73,Black-earedWheatear,1,10.0,
2227,2010,73,WhiteCrownedWheatear,1,10.0,
2228,2010,73,WhiteCrownedWheatear,1,15.0,
2229,2010,73,WhiteCrownedWheatear,1,21.0,
2230,2010,73,WhiteCrownedWheatear,1,21.0,
2231,2010,73,WhiteCrownedWheatear,1,41.0,
2232,2010,73,PaleCragMartin,1,10.0,
2233,2010,73,PaleCragMartin,1,27.0,
2234,2010,73,WhiteCrownedWheatear,2,5.0,
2235,2010,73,ScrubWarbler,2,45.0,
2236,2010,73,WhiteCrownedWheatear,1,1.0,
2237,2010,73,WhiteCrownedWheatear,1,1.0,
2238,2010,73,PaleCragMartin,2,25.0,
2239,2010,73,WhiteCrownedWheatear,1,19.0,
2240,2010,73,SinaiRoseFinch,2,55.0,
2241,2010,73,PaleCragMartin,1,2.0,
2242,2010,73,ScrubWarbler,1,5.0,
2243,2010,73,WhiteCrownedWheatear,1,10.0,
2244,2010,73,PaleCragMartin,1,1.0,
2245,2010,73,SpectacledBulbul,2,56.0,
2246,2010,73,SpectacledBulbul,2,10.0,
2247,2010,73,WhiteCrownedWheatear,1,10.0,
2248,2010,73,PaleCragMartin,1,1.0,
2249,2010,73,DesertLark,2,37.0,
2250,2010,73,PaleCragMartin,1,20.0,
2251,2010,73,PaleCragMartin,1,36.0,
2252,2010,73,PaleCragMartin,1,10.0,
2253,2010,73,TristramsStarling,3,46.0,
2254,2010,73,RockDove,2,46.0,
2255,2010,73,LaughingDove,1,46.0,
2256,2010,73,ScrubWarbler,1,46.0,
2257,2010,73,PaleCragMartin,4,5.0,
2258,2010,73,WhiteCrownedWheatear,1,31.0,
2259,2010,73,LaughingDove,2,41.0,
2260,2010,73,ScrubWarbler,2,21.0,
2261,2010,73,PaleCragMartin,1,10.0,
2262,2010,73,SinaiRoseFinch,1,31.0,
2263,2010,73,WhiteCrownedWheatear,1,76.0,
2264,2010,73,PaleCragMartin,4,26.0,
2265,2010,73,SinaiRoseFinch,2,106.0,
2266,2010,73,RockDove,20,130.0,
2267,2010,73,SinaiRoseFinch,1,15.0,
2268,2010,73,WhiteCrownedWheatear,1,43.0,
2269,2010,73,ScrubWarbler,1,58.0,
2270,2010,73,PaleCragMartin,7,10.0,
2271,2010,73,ScrubWarbler,1,59.0,
2272,2010,73,WhiteCrownedWheatear,1,144.0,
2273,2010,73,sinaiRoseFinch,1,36.0,
2274,2010,73,EasternOrpheanWarbler,1,23.0,
2275,2010,73,PaleCragMartin,1,10.0,
2276,2010,73,WhiteCrownedWheatear,1,5.0,
2277,2010,73,EasternOrpheanWarbler,2,20.0,
2278,2010,73,EasternOrpheanWarbler,1,20.0,
2279,2010,73,EasternOrpheanWarbler,1,20.0,
2280,2010,73,MourningWarbler,1,26.0,
2281,2010,73,PaleCragMartin,1,10.0,
2282,2010,73,DesertLark,2,59.0,
2283,2010,73,WhiteCrownedWheatear,1,1.0,
2284,2010,73,LaughingDove,1,1.0,
2285,2010,73,PaleCragMartin,1,10.0,
2286,2010,73,RockDove,1,8.0,
2287,2010,73,ScrubWarbler,2,8.0,
2288,2010,73,OlivaciousWarbler,1,7.0,
2289,2010,73,WhiteCrownedWheatear,1,55.0,
2290,2010,73,PaleCragMartin,6,83.0,
2291,2010,73,WhiteCrownedWheatear,1,73.0,
2292,2010,73,ScrubWarbler,1,115.0,
2293,2010,73,ScrubWarbler,1,28.0,
2294,2010,73,ScrubWarbler,1,88.0,
2295,2010,73,WhiteCrownedWheatear,1,2.0,
2296,2010,73,ScrubWarbler,1,57.0,
2297,2010,73,WhiteCrownedWheatear,1,10.0,
2298,2010,73,LaughingDove,1,25.0,
2299,2010,73,WhiteCrownedWheatear,1,23.0,
2300,2010,73,PaleCragMartin,1,1.0,
2301,2010,73,PaleCragMartin,2,1.0,
2302,2010,73,WhiteCrownedWheatear,1,59.0,
2303,2010,73,WhiteCrownedWheatear,1,54.0,
2304,2010,73,WhiteCrownedWheatear,1,35.0,
2305,2010,73,ScrubWarbler,1,25.0,
2306,2010,73,ScrubWarbler,2,10.0,
2307,2010,73,RockDove,1,1.0,
2308,2010,73,WhiteCrownedWheatear,3,10.0,
2309,2010,73,OlivaciousWarbler,1,9.0,
2310,2010,73,TristramsStarling,2,153.0,
2311,2010,73,PaleCragMartin,2,153.0,
2312,2010,73,LaughingDove,2,153.0,
2313,2010,73,DesertLark,1,153.0,
2314,2010,73,CollaredDove,1,,
2315,2010,73,SinaiRoseFinch,1,23.0,
2316,2010,73,SinaiRoseFinch,1,5.0,
2317,2010,73,PaleCragMartin,1,5.0,
2318,2010,73,SinaiRoseFinch,3,18.0,
2319,2010,73,WhiteCrownedWheatear,1,53.0,
2320,2010,73,CollaredDove,1,64.0,
2321,2010,73,RockDove,6,1.0,
2322,2010,73,CollaredDove,1,1.0,
2323,2010,73,RockDove,22,1.0,
2324,2010,73,WhiteCrownedWheatear,12,42.0,
2325,2010,73,WhiteCrownedWheatear,1,140.0,
2326,2010,73,SinaiRoseFinch,3,177.0,
2327,2010,73,DesertLark,2,49.0,
2328,2010,73,TristramsStarling,6,326.0,
2329,2010,73,PaleCragMartin,1,10.0,
2330,2010,73,ScrubWarbler,3,94.0,
2331,2010,73,SinaiRoseFinch,4,10.0,
2332,2010,73,WhiteCrownedWheatear,1,1.0,
2333,2010,73,PaleCragMartin,2,1.0,
2334,2010,73,CollaredDove,2,79.0,
2335,2010,73,SinaiRoseFinch,1,1.0,
2336,2010,73,SinaiRoseFinch,2,26.0,
2337,2010,73,LaughingDove,8,18.0,
2338,2010,73,SinaiRoseFinch,4,18.0,
2339,2010,73,CollaredDove,2,18.0,
2340,2010,73,PaleCragMartin,3,5.0,
2341,2010,73,LaughingDove,1,19.0,
2342,2010,73,RockDove,20,1.0,
2343,2010,73,LaughingDove,2,5.0,
2344,2010,73,TristramsStarling,3,20.0,
2345,2010,73,LaughingDove,1,34.0,
2346,2010,73,RockDove,20,5.0,
2347,2010,73,CollaredDove,3,86.0,
2348,2010,73,WhiteCrownedWheatear,1,3.0,
2349,2010,73,LaughingDove,1,35.0,
2350,2010,73,DesertLark,1,1.0,
2351,2010,73,LaughingDove,2,2.0,
2352,2010,73,CollaredDove,2,56.0,
2353,2010,73,LaughingDove,1,15.0,
2354,2010,73,TristramsStarling,5,71.0,
2355,2010,73,RockDove,2,,
2356,2010,73,WhiteCrownedWheatear,1,69.0,
2357,2010,73,sinaiRoseFinch,1,41.0,
2358,2010,73,WhiteCrownedWheatear,1,100.0,
2359,2010,73,RockDove,30,100.0,
2360,2010,73,LaughingDove,2,20.0,
2361,2010,73,sinaiRoseFinch,4,1.0,
2362,2010,73,LaughingDove,2,3.0,
2363,2010,73,RockDove,2,2.0,
2364,2010,73,WhiteCrownedWheatear,1,2.0,
2365,2010,73,FeralPigeon,4,6.0,
2366,2010,73,LaughingDove,1,42.0,
2367,2010,73,RockDove,5,5.0,
2368,2010,73,LaughingDove,1,70.0,
2369,2010,73,WhiteCrownedWheatear,1,10.0,
2370,2010,73,LaughingDove,2,16.0,
2371,2010,73,LaughingDove,1,31.0,
2372,2010,73,SinaiRoseFinch,1,29.0,
2373,2010,73,RockDove,40,40.0,
2374,2010,73,WhiteCrownedWheatear,1,23.0,
2375,2010,73,LaughingDove,1,29.0,
2376,2010,73,WhiteCrownedWheatear,1,30.0,
2377,2010,73,RockDove,60,30.0,
2378,2010,73,WhiteCrownedWheatear,1,4.0,
2379,2010,73,DesertLark,2,10.0,
2380,2010,73,SinaiRoseFinch,5,91.0,
2381,2010,73,LaughingDove,1,2.0,
2382,2010,73,LaughingDove,1,10.0,
2383,2010,73,SinaiRoseFinch,2,23.0,
2384,2010,73,ScrubWarbler,1,40.0,
2385,2010,73,ScrubWarbler,1,47.0,
2386,2010,73,SinaiRoseFinch,1,1.0,
2387,2010,73,WhiteCrownedWheatear,1,54.0,
2388,2010,73,PaleCragMartin,1,4.0,
2389,2010,73,SandPartridge,5,17.0,
2390,2010,73,LaughingDove,2,3.0,
2391,2010,73,TristramsStarling,1,24.0,
2392,2010,73,PaleCragMartin,1,36.0,
2393,2010,73,SinaiRoseFinch,1,14.0,
2394,2010,73,PalestineSunbird,1,13.0,
2395,2010,73,LaughingDove,1,7.0,
2396,2010,73,SinaiRoseFinch,4,1.0,
2397,2010,73,SinaiRoseFinch,2,6.0,
2398,2010,73,CollaredDove,1,1.0,
2399,2010,73,SinaiRoseFinch,2,60.0,
2400,2010,73,RockDove,10,60.0,
2401,2010,73,PaleCragMartin,1,60.0,
2402,2010,73,LaughingDove,1,53.0,
2403,2010,73,PaleCragMartin,1,33.0,
2404,2010,73,WhiteCrownedWheatear,1,62.0,
2405,2010,73,WhiteCrownedWheatear,1,5.0,
2406,2010,73,PaleCragMartin,1,2.0,
2407,2010,73,WhiteCrownedWheatear,1,5.0,
2408,2010,73,SinaiRoseFinch,2,38.0,
2409,2010,73,RockDove,2,38.0,
2410,2010,73,WhiteCrownedWheatear,1,20.0,
2411,2010,73,WhiteCrownedWheatear,1,29.0,
2412,2010,73,ScrubWarbler,1,19.0,
2413,2010,73,PaleCragMartin,1,30.0,
2414,2010,73,LaughingDove,1,25.0,
2415,2010,73,TristramsStarling,1,30.0,
2416,2010,73,PaleCragMartin,1,1.0,
2417,2010,73,PaleCragMartin,2,2.0,
2418,2010,73,SinaiRoseFinch,1,10.0,
2419,2010,73,ScrubWarbler,1,55.0,
2420,2010,73,DesertLark,2,6.0,
2421,2010,73,TristramsStarling,2,31.0,
2422,2010,73,SpectacledBulbul,1,26.0,
2423,2010,73,SpectacledBulbul,1,35.0,
2424,2010,73,WhiteCrownedWheatear,1,1.0,
2425,2010,73,SinaiRoseFinch,1,1.0,
2426,2010,73,SpectacledBulbul,1,14.0,
2427,2010,73,EasternOrpheanWarbler,1,21.0,
2428,2010,73,SootyFalcon,1,30.0,
2429,2010,73,RockMartin,1,51.0,
2430,2010,73,WhiteCrownedWheater,1,23.0,
2431,2010,73,RockMartin,1,60.0,
2432,2010,73,SandPartridge,1,42,
2433,2010,73,BlackStart,1,21.0,
2434,2010,73,BrownNeckedRaven,2,33.0,
2435,2010,73,BlackStart,2,9.0,
2436,2010,73,OrphanWarbler,1,3.0,
2437,2010,73,WhiteCrownedWheater,1,30.0,
2438,2010,73,BlackStart,2,30.0,
2439,2010,73,BlackStart,1,0.0,
2440,2010,73,BlackStart,1,0.0,
2441,2010,73,CollaredDove,1,174.0,
2442,2010,73,BlackStart,2,68.0,
2443,2010,73,WhiteCrownedWheater,1,38.0,
2444,2010,73,BlackStart,2,73.0,
2445,2010,73,CollaredDove,1,66.0,
2446,2010,73,WhiteCrownedWheater,1,60.0,
2447,2010,73,RockMartin,1,0.0,
2448,2010,73,BlackStart,2,0.0,
2449,2010,73,WhiteCrownedWheater,1,0.0,
2450,2010,73,CollaredDove,1,101.0,
2451,2010,73,WhiteCrownedWheater,1,101.0,
2452,2010,73,BlackStart,1,44.0,
2453,2010,73,RockMartin,2,49.0,
2454,2010,73,CollaredDove,1,17.0,
2455,2010,73,BlackStart,1,17.0,
2456,2010,73,WhiteCrownedWheater,1,6.0,
2457,2010,73,CollaredDove,2,6.0,
2458,2010,73,CollaredDove,1,8.0,
2459,2010,73,WhiteCrownedWheater,1,233.0,
2460,2010,73,CollaredDove,1,59.0,
2461,2010,73,BlackStart,2,27.0,
2462,2010,73,BlackStart,1,81.0,
2463,2010,73,BlackStart,2,86.0,
2464,2010,73,BlackStart,1,28.0,
2465,2010,73,RockMartin,1,54.0,
2466,2010,73,BlackStart,2,50.0,
2467,2010,73,SandPartridge,1,60.0,
2468,2010,73,BlackStart,2,6.0,
2469,2010,73,BlackStart,1,6.0,
2470,2010,73,SandPartridge,1,97.0,
2471,2010,73,BlackStart,2,1.0,
2472,2010,73,WhiteCrownedWheater,1,34.0,
2473,2010,73,WhiteCrownedWheater,1,194.0,
2474,2010,73,BlackStart,1,44.0,
2475,2010,73,WhiteCrownedWheater,1,24.0,
2476,2010,73,RockMartin,1,91.0,
2477,2010,73,WhiteCrownedWheater,2,2.0,
2478,2010,73,BlackStart,1,2.0,
2479,2010,73,BlackStart,1,2.0,
2480,2010,73,WhiteCrownedWheater,1,101.0,
2481,2010,73,BlackStart,1,34.0,
2482,2010,73,BlackStart,2,104.0,
2483,2010,73,ScrubWarbler,1,52.0,
2484,2010,73,RockMartin,2,48.0,
2485,2010,73,BlackStart,2,5.0,
2486,2010,73,WhiteCrownedWheater,1,43.0,
2487,2010,73,BlackStart,1,43.0,
2488,2010,73,WhiteCrownedWheater,1,177.0,
2489,2010,73,BlackStart,2,154.0,
2490,2010,73,BlackStart,1,119.0,
2491,2010,73,BlackStart,1,57.0,
2492,2010,73,RockMartin,1,0.0,
2493,2010,73,BlackStart,2,34.0,
2494,2010,73,BlackStart,1,69.0,
2495,2010,73,BlackStart,1,69.0,
2496,2010,73,BlackStart,1,51.0,
2497,2010,73,BlackStart,1,4.0,
2498,2010,73,WhiteCrownedWheater,1,49.0,
2499,2010,73,RockMartin,1,0.0,
2500,2010,73,RockMartin,1,83.0,
2501,2010,73,BlackStart,1,83.0,
2502,2010,73,ScrubWarbler,1,103.0,
2503,2010,73,RockMartin,2,12.0,
2504,2010,73,BlackStart,1,0.0,
2505,2010,73,RockMartin,1,0.0,
2506,2010,73,WhiteCrownedWheater,2,58.0,
2507,2010,73,WhiteCrownedWheater,1,146.0,
2508,2010,73,BlackStart,1,46.0,
2509,2010,73,ScrubWarbler,1,57.0,
2510,2010,73,ScrubWarbler,1,57.0,
2511,2010,73,WhiteCrownedWheater,1,0.0,
2512,2010,73,BlackStart,1,51.0,
2513,2010,73,LaughingDove,2,33.0,
2514,2010,73,LaughingDove,2,67.0,
2515,2010,73,LaughingDove,1,92.0,
2516,2010,73,LaughingDove,1,67.0,
2517,2010,73,BlackStart,2,118.0,
2518,2010,73,BlackStart,2,11.0,
2519,2010,73,SandPartridge,3,103.0,
2520,2010,73,WhiteCrownedWheater,1,179.0,
2521,2010,73,LaughingDove,1,117.0,
2522,2010,73,LaughingDove,1,212.0,
2523,2010,73,SinaiRosefinch,2,52.0,
2524,2010,73,LaughingDove,7,47.0,
2525,2010,73,WhiteCrownedWheater,2,47.0,
2526,2010,73,Bulbul,2,47.0,
2527,2010,73,Bulbul,3,33.0,
2528,2010,73,LaughingDove,1,56.0,
2529,2010,73,LaughingDove,1,18.0,
2530,2010,73,Bulbul,1,18.0,
2531,2010,73,Bulbul,2,50.0,
2532,2010,73,WhiteCrownedWheater,1,42.0,
2533,2010,73,WhiteCrownedWheater,4,0.0,
2534,2010,73,BlackStart,1,12.0,
2535,2010,73,BlackStart,2,11.0,
2536,2010,73,LaughingDove,1,14.0,
2537,2010,73,BlackStart,1,41.0,
2538,2010,73,BlackStart,1,150.0,
2539,2010,73,Bulbul,3,150.0,
2540,2010,73,LaughingDove,2,150.0,
2541,2010,73,LaughingDove,1,31.0,
2542,2010,73,BlackStart,1,93.0,
2543,2010,73,Hoopoe,1,0.0,
2544,2010,73,Pigeon,3,55.0,
2545,2010,73,Hoopoe,1,43.0,
2546,2010,73,LaughingDove,1,42.0,
2547,2010,73,RockMartin,1,11.0,
2548,2010,73,Hoopoe,1,57.0,
2549,2010,73,Bulbul,1,97.0,
2550,2010,73,BlackStart,1,17.0,
2551,2010,73,WhiteCrownedWheater,1,71.0,
2552,2010,73,LaughingDove,1,74.0,
2553,2010,73,RockMartin,2,51.0,
2554,2010,73,BlackStart,1,112.0,
2555,2010,73,Bulbul,2,112.0,
2556,2010,73,RockMartin,1,24.0,
2557,2010,73,LaughingDove,2,27.0,
2558,2010,73,LaughingDove,1,83.0,
2559,2010,73,BlackStart,3,79.0,
2560,2010,73,WhiteCrownedWheater,1,60.0,
2561,2010,73,LaughingDove,1,60.0,
2562,2010,73,Bulbul,5,67.0,
2563,2010,73,RockDove,1,67.0,
2564,2010,73,BlackStart,1,67.0,
2565,2010,73,WhiteCrownedWheater,1,78.0,
2566,2010,73,BlackStart,2,51.0,
2567,2010,73,LaughingDove,1,27.0,
2568,2010,73,WhiteCrownedWheater,1,29.0,
2569,2010,73,WhiteCrownedWheater,1,41.0,
2570,2010,73,LaughingDove,1,44.0,
2571,2010,73,WhiteCrownedWheater,1,44.0,
2572,2010,73,Hoopoe,1,44.0,
2573,2010,73,LaughingDove,1,44.0,
2574,2010,73,RockDove,1,83.0,
2575,2010,73,LaughingDove,1,29.0,
2576,2010,73,LaughingDove,2,33.0,
2577,2010,73,RockDove,1,33.0,
2578,2010,73,LaughingDove,1,5.0,
2579,2010,73,LaughingDove,1,5.0,
2580,2010,73,CollaredDove,2,167.0,
2581,2010,73,Bulbul,1,39.0,
2582,2010,73,CollaredDove,1,63.0,
2583,2010,73,WhiteCrownedWheater,2,56.0,
2584,2010,73,LaughingDove,2,27.0,
2585,2010,73,Bulbul,1,81.0,
2586,2010,73,LaughingDove,1,63.0,
2587,2010,73,WhiteCrownedWheater,1,47.0,
2588,2010,73,LaughingDove,2,47.0,
2589,2010,73,BlackStart,2,47.0,
2590,2010,73,BlackStart,2,47.0,
2591,2010,73,BlackStart,2,70.0,
2592,2010,73,BlackStart,1,66.0,
2593,2010,73,BlackStart,1,68.0,
2594,2010,73,RockMartin,1,18.0,
2595,2010,73,SandPartridge,1,18.0,
2596,2010,73,OrphanWarbler,1,57.0,
2597,2010,73,SandPartridge,2,69.0,
2598,2010,73,WhiteCrownedWheater,2,24.0,
2599,2010,73,ScrubWarbler,1,383.0,
2600,2010,73,LaughingDove,3,248.0,
2601,2010,73,ScrubWarbler,1,111.0,
2602,2010,73,ScrubWarbler,2,6.0,
2603,2010,73,ScrubWarbler,2,6.0,
2604,2010,73,ShortToedLark,2,49.0,
2605,2010,73,ScrubWarbler,1,49.0,
2606,2010,73,ShortToedLark,1,90.0,
2607,2010,73,ScrubWarbler,2,58.0,
2608,2010,73,WhiteCrownedWheater,1,38.0,
2609,2010,73,WhiteCrownedWheater,1,21.0,
2610,2010,73,WhiteCrownedWheater,1,19.0,
2611,2010,73,WhiteCrownedWheater,1,14.0,
2612,2010,73,WhiteCrownedWheater,1,17.0,
2613,2010,73,SandPartridge,1,296.0,
2614,2010,73,ShortToedLark,3,39.0,
2615,2010,73,WhiteCrownedWheater,1,116.0,
2616,2010,73,WhiteCrownedWheater,1,31.0,
2617,2010,73,WhiteCrownedWheater,1,30.0,
2618,2010,73,BlackStart,1,2.0,
2619,2010,73,WhiteCrownedWheater,6,8.0,
2620,2011,47,WhiteCrownedWheater,2,0.0,
2621,2011,47,RockMartin,1,30.0,
2622,2011,47,ScrubWarbler,2,35.0,
2623,2011,47,RockMartin,2,30.0,
2624,2011,47,ScrubWarbler,1,30.0,
2625,2011,47,DesertLark,1,14.0,
2626,2011,47,WhiteCrownedWheater,1,52.0,
2627,2011,47,HoodedWheater,1,52.0,
